Month,Day,Year,Open,High,Low,Close,Adj Close,Volume
9,11,2023,1863.109985,1868.170044,1837.560059,1847.030029,1847.030029,20916040000
9,18,2023,1847.709961,1847.709961,1776.5,1776.5,1776.5,17096470000
9,25,2023,1768.670044,1809.689941,1761.609985,1785.099976,1785.099976,18256060000
10,2,2023,1780.859985,1782.02002,1709.589966,1745.560059,1745.560059,19153590000
10,9,2023,1738.390015,1786.640015,1715.319946,1719.709961,1719.709961,14009670000
10,16,2023,1734.130005,1779.849976,1680.089966,1680.790039,1680.790039,18864600000
10,23,2023,1671.76001,1690.410034,1633.670044,1636.939941,1636.939941,19764430000
10,30,2023,1646.359985,1770.579956,1635.410034,1760.699951,1760.699951,21626250000
11,6,2023,1760.180054,1760.859985,1684.199951,1705.319946,1705.319946,18742940000
11,13,2023,1698.73999,1830,1690.920044,1797.77002,1797.77002,20115520000
11,20,2023,1798.560059,1810.26001,1783.26001,1807.5,1807.5,11838180000
11,27,2023,1801.030029,1863.660034,1789.199951,1862.640015,1862.640015,21205410000
12,4,2023,1857.170044,1888.719971,1848.780029,1880.819946,1880.819946,20051430000
12,11,2023,1879.660034,2009.079956,1870.339966,1985.130005,1985.130005,27228260000
12,18,2023,1991.609985,2042.469971,1980.75,2033.959961,2033.959961,18766580000
12,25,2023,2043.140015,2071.780029,2027.069946,2027.069946,2027.069946,11087280000
1,1,2024,2012.75,2032.48999,1941.77002,1951.140015,1951.140015,15253660000
1,8,2024,1948.900024,1989.01001,1934.319946,1950.959961,1950.959961,18017190000
1,15,2024,1934.640015,1944.390015,1898.23999,1944.390015,1944.390015,16495350000
1,22,2024,1960.939941,2001.140015,1960.47998,1978.329956,1978.329956,19914270000
1,29,2024,1978.140015,2011.650024,1936.22998,1962.72998,1962.72998,20417850000
2,5,2024,1951.77002,2010.77002,1921.359985,2009.98999,2009.98999,21614960000
2,12,2024,2014.689941,2062.800049,1950.469971,2045.140015,2045.140015,19924770000
2,19,2024,2008.780029,2026.430054,1982.439941,2016.689941,2016.689941,15547770000
2,26,2024,2012.930054,2077.969971,2011.859985,2076.389893,2076.389893,21367100000
3,4,2024,2087.629883,2115.949951,2048.129883,2082.709961,2082.709961,22082750000
